Title,Price,Stars,Reviews,Link 
Asus VivoBook X4..., $295.99, 3, 14 reviews, /test-sites/e-commerce/allinone/product/545 
Prestigio SmartB..., $299.00, 2, 8 reviews, /test-sites/e-commerce/allinone/product/546 
Prestigio SmartB..., $299.00, 4, 12 reviews, /test-sites/e-commerce/allinone/product/547 
Aspire E1-510, $306.99, 3, 2 reviews, /test-sites/e-commerce/allinone/product/517 
Lenovo V110-15IA..., $321.94, 3, 5 reviews, /test-sites/e-commerce/allinone/product/548 
Lenovo V110-15IA..., $356.49, 2, 6 reviews, /test-sites/e-commerce/allinone/product/549 
Hewlett Packard..., $364.46, 1, 12 reviews, /test-sites/e-commerce/allinone/product/550 
Acer Aspire 3 A3..., $372.70, 2, 2 reviews, /test-sites/e-commerce/allinone/product/551 
Acer Aspire A315..., $379.94, 2, 0 reviews, /test-sites/e-commerce/allinone/product/552 
Acer Aspire ES1-..., $379.95, 4, 9 reviews, /test-sites/e-commerce/allinone/product/553 
Acer Aspire 3 A3..., $391.48, 4, 10 reviews, /test-sites/e-commerce/allinone/product/554 
Acer Aspire 3 A3..., $393.88, 3, 9 reviews, /test-sites/e-commerce/allinone/product/555 
Asus VivoBook Ma..., $399.00, 1, 4 reviews, /test-sites/e-commerce/allinone/product/530 
Asus VivoBook E5..., $399.99, 4, 3 reviews, /test-sites/e-commerce/allinone/product/556 
Lenovo ThinkPad..., $404.23, 1, 12 reviews, /test-sites/e-commerce/allinone/product/557 
Acer Aspire 3 A3..., $408.98, 4, 10 reviews, /test-sites/e-commerce/allinone/product/558 
Lenovo V110-15IS..., $409.63, 3, 9 reviews, /test-sites/e-commerce/allinone/product/559 
Acer Aspire ES1-..., $410.46, 4, 14 reviews, /test-sites/e-commerce/allinone/product/560 
Asus VivoBook 15..., $410.66, 4, 4 reviews, /test-sites/e-commerce/allinone/product/561 
Packard 255 G2, $416.99, 2, 2 reviews, /test-sites/e-commerce/allinone/product/516 
Asus EeeBook R41..., $433.30, 1, 1 reviews, /test-sites/e-commerce/allinone/product/562 
Acer Aspire 3 A3..., $436.29, 1, 1 reviews, /test-sites/e-commerce/allinone/product/563 
Acer Aspire ES1-..., $436.29, 1, 2 reviews, /test-sites/e-commerce/allinone/product/564 
Acer Extensa 15..., $439.73, 4, 6 reviews, /test-sites/e-commerce/allinone/product/565 
Acer Aspire ES1-..., $454.62, 1, 9 reviews, /test-sites/e-commerce/allinone/product/566 
Lenovo V110-15IS..., $454.73, 2, 2 reviews, /test-sites/e-commerce/allinone/product/567 
Acer Aspire A315..., $457.38, 3, 9 reviews, /test-sites/e-commerce/allinone/product/568 
Lenovo V110-15IK..., $465.95, 1, 7 reviews, /test-sites/e-commerce/allinone/product/569 
Asus VivoBook 15..., $468.56, 3, 1 reviews, /test-sites/e-commerce/allinone/product/570 
Acer Aspire ES1-..., $469.10, 3, 5 reviews, /test-sites/e-commerce/allinone/product/571 
Lenovo V510 Blac..., $484.23, 3, 8 reviews, /test-sites/e-commerce/allinone/product/572 
Acer Aspire ES1-..., $485.90, 3, 6 reviews, /test-sites/e-commerce/allinone/product/573 
Lenovo V510 Blac..., $487.80, 2, 9 reviews, /test-sites/e-commerce/allinone/product/574 
Acer Swift 1 SF1..., $488.64, 3, 4 reviews, /test-sites/e-commerce/allinone/product/575 
Dell Vostro 15, $488.78, 4, 14 reviews, /test-sites/e-commerce/allinone/product/531 
Acer Aspire 3 A3..., $494.71, 4, 2 reviews, /test-sites/e-commerce/allinone/product/576 
Dell Vostro 15 (..., $497.17, 1, 9 reviews, /test-sites/e-commerce/allinone/product/577 
Lenovo V510 Blac..., $498.23, 3, 5 reviews, /test-sites/e-commerce/allinone/product/578 
HP 250 G3, $520.99, 2, 13 reviews, /test-sites/e-commerce/allinone/product/527 
Acer Spin 5, $564.98, 2, 0 reviews, /test-sites/e-commerce/allinone/product/532 
HP 350 G1, $577.99, 2, 10 reviews, /test-sites/e-commerce/allinone/product/529 
Aspire E1-572G, $581.99, 1, 2 reviews, /test-sites/e-commerce/allinone/product/521 
